팜맵고유번호, 영상촬영년도, PNU지번코드, 법정읍면동코드, 법정읍면동명, 변경구분코드, 변경구분명, 지번, 판독코드, 판독명, 판독영상구분코드, 판독영상구분명, 판독입력일자, 갱신이력코드, 갱신이력명, 도엽번호
05589822, 2017, 2914011600105990004, 29140116, 유촌동, 01, 유지, 599-4답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589820, 2017, 2914011600105990005, 29140116, 유촌동, 01, 유지, 599-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05588070, 2017, 2914011600105990006, 29140116, 유촌동, 01, 유지, 599-6답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589815, 2017, 2914011600105990007, 29140116, 유촌동, 01, 유지, 599-7답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589814, 2017, 2914011600105990008, 29140116, 유촌동, 01, 유지, 599-8답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589817, 2017, 2914011600105990009, 29140116, 유촌동, 01, 유지, 599-9답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589385, 2017, 2914011600105990018, 29140116, 유촌동, 01, 유지, 599-18답, 01, 논, 01, 항공영상, 20181130, , , 35616035
05589816, 2017, 2914011600105990020, 29140116, 유촌동, 01, 유지, 599-20답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589812, 2017, 2914011600106000001, 29140116, 유촌동, 01, 유지, 600-1답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589576, 2017, 2914011600106750000, 29140116, 유촌동, 02, 변경, 675전, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589553, 2017, 2914011600106750000, 29140116, 유촌동, 02, 변경, 675전, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589551, 2017, 2914011600106760000, 29140116, 유촌동, 02, 변경, 676전, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589776, 2017, 2914011600108200008, 29140116, 유촌동, 01, 유지, 820-8답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05589575, 2017, 2914011600108200111, 29140116, 유촌동, 01, 유지, 820-111답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590011, 2017, 2914011700100010002, 29140117, 덕흥동, 01, 유지, 1-2답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590010, 2017, 2914011700100010003, 29140117, 덕흥동, 01, 유지, 1-3답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590003, 2017, 2914011700100020005, 29140117, 덕흥동, 01, 유지, 2-5답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590008, 2017, 2914011700100020006, 29140117, 덕흥동, 01, 유지, 2-6답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590004, 2017, 2914011700100020007, 29140117, 덕흥동, 01, 유지, 2-7답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590006, 2017, 2914011700100020008, 29140117, 덕흥동, 01, 유지, 2-8답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590001, 2017, 2914011700100020009, 29140117, 덕흥동, 01, 유지, 2-9답, 01, 논, 01, 항공영상, 20181130, , , 35616034
05590002, 2017, 2914011700100020010, 29140117, 덕흥동, 01, 유지, 2-10답, 01, 논, 01, 항공영상, 20181130, , , 35616034
